CG_ID	SSP1	SSP2	SSH11	SSH12	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj
CG10000	34	158	15	177	-2.21631790692676	-3.56071495447448	72.591919471085	FBgn0039596	CG10000	0.854	Pan-drosophilid	non_HKs	0	TS	1.03229110027605e-18	9.16019293423199e-34
CG10007	135	170	131	174	-0.332575339086871	-0.409520494311278	84.1828183967668	FBgn0260744	Tango9	0.397	Eukaryota	non_HKs	0	non_TS_non_HK	0.133492621997308	0.100103030672685
CG10009	145	192	160	177	-0.405053410706222	-0.145677455195635	35.9649990211519	FBgn0026400	Noa36	0.436	Bilateria	non_HKs	0	non_TS_non_HK	0.0424978548048082	0.695339290874059
CG10011	36	56	61	31	-0.637429920615292	0.976541027176011	37.696835089455	FBgn0039590	CG10011	0.425	Eukaryota	HK	1.408601387	non_TS_HK	0.125375341647724	0.024039708579472
CG10021	25	22	21	26	0.184424571137428	-0.308122295362332	38.4830976436936	FBgn0004893	bowl	0.523	Eukaryota	non_HKs	0	non_TS_non_HK	0.885550263322234	0.825416495861418
CG10023	117	191	159	149	-0.707064108452344	0.0937144348221937	10.4768217433742	FBgn0020440	Fak	0.272	Bilateria	HK	2.399391232	non_TS_HK	0.000224575665794608	0.858395537999603
CG10037	32	26	31	27	0.299560281858908	0.199308808223407	66.5337897890217	FBgn0086680	vvl	0.613	Bilateria	non_HKs	0	TS	0.686139279070448	0.911444084211681
CG10038	89	58	69	78	0.617752435838826	-0.176877762084079	18.2065170194599	FBgn0038013	CG10038	0.353	Eukaryota	non_HKs	0	non_TS_non_HK	0.0451611858408635	0.795743050553386
CG10042	116	107	135	88	0.116514008726425	0.617383978413534	55.20963994468	FBgn0038016	MBD-R2	0.425	Diptera	non_HKs	0	non_TS_non_HK	0.757070054291593	0.0214213047796746
CG10060	229	211	222	218	0.118104599389759	0.0262315415731794	22.2104318618552	FBgn0001104	Galphai	0.397	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.598865146138471	1
CG10071	1246	36	695	587	5.11316335158169	0.243652474500818	4.76520028301945	FBgn0016726	RpL29	0.153	Eukaryota	HK	162.8205594	non_TS_HK	1.93155180760964e-313	0.0281962788119473
CG10072	187	193	164	216	-0.0455625773804438	-0.397335497545385	53.0411203707807	FBgn0261445	sgl	0.369	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.90453826084465	0.0664922814265736
CG10075	46	60	46	60	-0.383328639551506	-0.383328639551506	100	FBgn0035722	CG10075	0.464	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.373966643213149	0.501615218378701
CG10077	228	154	207	175	0.56610347346984	0.242275845666996	42.7970957644908	FBgn0035720	CG10077	0.33	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	12.21159313	non_TS_HK	0.00115174550631612	0.352610240127452
CG10079	60	96	75	81	-0.678071905112638	-0.111031312388744	16.3745631623389	FBgn0003731	Egfr	0.472	Bilateria	non_HKs	0	non_TS_non_HK	0.0195421007636246	0.910379479325357
CG10080	241	251	249	243	-0.0586542177208103	0.0351894284623002	27.2716344696912	FBgn0034641	mahj	0.316	Eukaryota	non_HKs	0	non_TS_non_HK	0.825626713015136	0.975855342806012
CG10082	169	119	149	139	0.506061672974241	0.100227447738654	19.8053820495029	FBgn0034644	CG10082	0.309	Eukaryota	non_HKs	0	non_TS_non_HK	0.01572026242723	0.8514670007767
CG10083	97	91	108	80	0.0921182019884314	0.432959407276106	55.9523215989208	FBgn0036372	Abp1	0.271	Eukaryota	non_HKs	0	non_TS_non_HK	0.845353124731924	0.208098310188898
CG10084	89	88	77	100	0.0163018123291006	-0.377069649079823	48.942046828293	FBgn0002044	swm	0.268	Bilateria	HK	6.540143767	non_TS_HK	1	0.320949262232984
CG1009	496	479	447	528	0.0503144646506949	-0.240263098175136	45.260869376903	FBgn0261243	Psa	0.436	Cellular_Organisms	HK	7.607337678	non_TS_HK	0.771494708545567	0.0735673943143008
CG10091	131	24	115	40	2.44846050081629	1.52356195605701	62.2253026156261	FBgn0038020	GstD9	0.508	Cellular_Organisms	non_HKs	0	non_TS_non_HK	1.68435208992933e-17	7.00205265698329e-08
CG10103	144	158	148	154	-0.133855746734791	-0.0573331750659516	42.8320609794559	FBgn0035715	CG10103	0.324	Eukaryota	non_HKs	0	non_TS_non_HK	0.635484317576963	0.954640616848783
CG10107	313	353	379	287	-0.173505526338562	0.401147111495404	41.1095731241064	FBgn0035713	velo	0.465	Eukaryota	non_HKs	0	non_TS_non_HK	0.267860761816299	0.00626076869638691
CG10110	67	86	69	84	-0.360175564244325	-0.283792966000591	78.7929538185106	FBgn0024698	Cpsf160	0.354	Eukaryota	non_HKs	0	non_TS_non_HK	0.28979827781413	0.567075284042739
CG10117	219	204	241	182	0.102361717629678	0.405094696031265	57.23069479529	FBgn0265974	ttv	0.461	Eukaryota	HK	1.703266077	non_TS_HK	0.673749125781479	0.0428794368853531
CG10120	581	852	682	751	-0.552315266821309	-0.139041168490099	25.1742395770283	FBgn0002719	Men	0.314	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	1.86139714153794e-11	0.268756427329121
CG10121	69	65	64	70	0.0861566437497145	-0.129283016944966	37.5034847809204	FBgn0035710	SP1173	0.472	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.902565462765256	0.898884774528854
