FBgn_ID	Gene_name	CG_ID	tau	Age_classification	HK_bin	min	class
FBgn0000008	a	CG6741	0.608	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000014	abd-A	CG10325	0.725	Bilateria	non_HKs	0	TS
FBgn0000015	Abd-B	CG11648	0.835	Bilateria	non_HKs	0	TS
FBgn0000018	abo	CG6093	0.432	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000022	ac	CG3796	0.866	Pan-drosophilid	non_HKs	0	TS
FBgn0000024	Ace	CG17907	0.665	Cellular_Organisms	non_HKs	0	TS
FBgn0000028	acj6	CG9151	0.848	Diptera	non_HKs	0	TS
FBgn0000032	Acph-1	CG7899	0.374	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000036	nAChRalpha1	CG5610	0.779	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000037	mAChR-A	CG4356	0.814	Bilateria	non_HKs	0	TS
FBgn0000038	nAChRbeta1	CG11348	0.784	Bilateria	non_HKs	0	TS
FBgn0000039	nAChRalpha2	CG6844	0.818	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000042	Act5C	CG4027	0.178	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	HK	128.2356546	non_TS_HK
FBgn0000043	Act42A	CG12051	0.287	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000044	Act57B	CG10067	0.56	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000045	Act79B	CG7478	0.793	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	TS
FBgn0000046	Act87E	CG18290	0.568	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000047	Act88F	CG5178	0.809	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	TS
FBgn0000052	ade2	CG9127	0.451	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000053	ade3	CG31628	0.56	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000055	Adh	CG3481	0.815	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000056	Adhr	CG3484	0.991	Diptera	non_HKs	0	TS
