CG_ID	MSP1	MSP2	MSH11	MSH12	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj
CG10000	161	31	102	90	2.37672056772774	0.180572245641821	7.59753788870757	FBgn0039596	CG10000	0.854	Pan-drosophilid	non_HKs	0	TS	9.18110514762534e-21	0.66580348039435
CG10007	155	150	165	140	0.0473057147783568	0.237039197300849	55.5422613741276	FBgn0260744	Tango9	0.397	Eukaryota	non_HKs	0	non_TS_non_HK	0.920382999821831	0.380032787349584
CG10009	178	159	162	175	0.162850475682042	-0.111361108947704	28.8820009307363	FBgn0026400	Noa36	0.436	Bilateria	non_HKs	0	non_TS_non_HK	0.501046139331157	0.740245693913498
CG10011	42	50	51	41	-0.251538766995964	0.314873337353412	35.7288708576673	FBgn0039590	CG10011	0.425	Eukaryota	HK	1.408601387	non_TS_HK	0.642734768159647	0.59093860092347
CG10021	20	27	24	23	-0.432959407276106	0.0614005446641433	11.0480224915752	FBgn0004893	bowl	0.523	Eukaryota	non_HKs	0	non_TS_non_HK	0.557684982569526	1
CG10023	185	123	158	150	0.588866955177072	0.0749620576812219	12.7298801575104	FBgn0020440	Fak	0.272	Bilateria	HK	2.399391232	non_TS_HK	0.00255124785680098	0.863386501646989
CG10038	85	62	83	64	0.455194625750826	0.375039431346925	82.3910059852555	FBgn0038013	CG10038	0.353	Eukaryota	non_HKs	0	non_TS_non_HK	0.159465256966903	0.334360478636305
CG10042	116	107	107	116	0.116514008726425	-0.116514008726425	33.3333333333333	FBgn0038016	MBD-R2	0.425	Diptera	non_HKs	0	non_TS_non_HK	0.755171724593522	0.800236221721164
CG10060	243	197	222	218	0.302760684149405	0.0262315415731794	8.66411755108694	FBgn0001104	Galphai	0.397	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.0850761268265388	0.98051568164745
CG10071	831	451	584	698	0.881721043514963	-0.257258667329635	18.425125061097	FBgn0016726	RpL29	0.153	Eukaryota	HK	162.8205594	non_TS_HK	7.67489070478564e-25	0.0119245274911869
CG10072	228	152	243	137	0.584962500721156	0.826780420645254	77.3705506790085	FBgn0261445	sgl	0.369	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.000711806391350613	1.82075627132555e-06
CG10075	52	54	54	52	-0.0544477840223765	0.0544477840223765	33.3333333333333	FBgn0035722	CG10075	0.464	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.980139822482971	0.991700735233777
CG10077	168	214	201	181	-0.349149563622387	0.151205804095723	23.2066934981396	FBgn0035720	CG10077	0.33	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	12.21159313	non_TS_HK	0.0610395191067975	0.572140136098609
CG10079	77	79	84	72	-0.0369942074822016	0.222392421336448	46.1606666509999	FBgn0003731	Egfr	0.472	Bilateria	non_HKs	0	non_TS_non_HK	0.986941145390927	0.61997243988672
CG10080	226	266	222	270	-0.235103473086002	-0.282399730700725	85.6545850447319	FBgn0034641	mahj	0.316	Eukaryota	non_HKs	0	non_TS_non_HK	0.17593894488598	0.131052639421597
CG10082	88	200	139	149	-1.18442457113743	-0.100227447738654	8.46212162268836	FBgn0034644	CG10082	0.309	Eukaryota	non_HKs	0	non_TS_non_HK	6.26238420653451e-10	0.803213165663945
CG10083	89	99	104	84	-0.153623189113212	0.308122295362332	40.0227550018028	FBgn0036372	Abp1	0.271	Eukaryota	non_HKs	0	non_TS_non_HK	0.688848294065203	0.374476616698126
CG10084	82	95	91	86	-0.212303603712864	0.0815298854965985	21.7202558881624	FBgn0002044	swm	0.268	Bilateria	HK	6.540143767	non_TS_HK	0.542323971595659	0.907877786803342
CG1009	466	509	576	399	-0.127335701421415	0.529680065219966	44.6348635428471	FBgn0261243	Psa	0.436	Cellular_Organisms	HK	7.607337678	non_TS_HK	0.326070120849389	5.40166448310614e-07
CG10103	165	137	157	145	0.268290131285289	0.114711658876692	42.7565704065024	FBgn0035715	CG10103	0.324	Eukaryota	non_HKs	0	non_TS_non_HK	0.242440833405692	0.750356807358013
CG10107	269	397	297	369	-0.561532834586334	-0.31315788525963	55.7684014133074	FBgn0035713	velo	0.465	Eukaryota	non_HKs	0	non_TS_non_HK	7.49914741889251e-06	0.0345740622492686
CG10110	103	50	91	62	1.04264433740849	0.553598329811821	53.0956060422097	FBgn0024698	Cpsf160	0.354	Eukaryota	non_HKs	0	non_TS_non_HK	0.000160033416730235	0.0990598143257149
CG10117	186	237	150	273	-0.349584437790228	-0.863938450423971	62.6817945813431	FBgn0265974	ttv	0.461	Eukaryota	HK	1.703266077	non_TS_HK	0.0461287222501449	9.15764251385338e-08
CG10120	890	543	834	599	0.712853138049399	0.477491380655878	66.9831351184694	FBgn0002719	Men	0.314	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	1.33735904313483e-18	2.56194729192173e-08
CG10121	63	71	64	70	-0.172467196004766	-0.129283016944966	74.9609316669091	FBgn0035710	SP1173	0.472	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.719928079536845	0.84849291566259
CG10122	185	175	190	170	0.0801703486839834	0.160464672193246	66.6495022231786	FBgn0019938	RpI1	0.315	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.79250263220269	0.555382521946495
CG10123	25	31	28	28	-0.310340120612151	0	0	FBgn0040268	Top3alpha	0.422	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.680307742760027	1
CG10128	44	64	48	60	-0.540568381362703	-0.321928094887362	59.5536302134104	FBgn0003742	tra2	0.497	Eukaryota	non_HKs	0	non_TS_non_HK	0.155787007113433	0.52839733174881
CG10130	130	96	104	122	0.437405312307298	-0.230297619421794	25.6455988948606	FBgn0010638	Sec61beta	0.291	Eukaryota	non_HKs	0	non_TS_non_HK	0.0763940307278783	0.494304321966627
CG10144	81	66	81	66	0.295455883526171	0.295455883526171	100	FBgn0035704	CG10144	0.424	Eukaryota	non_HKs	0	non_TS_non_HK	0.412916575241055	0.481557252683724
CG10155	41	46	48	39	-0.166009951438929	0.299560281858908	39.1515272133068	FBgn0020767	Spred	0.253	Bilateria	non_HKs	0	non_TS_non_HK	0.817522183281423	0.631040348170817
CG10165	49	28	36	41	0.807354922057604	-0.187627003175771	15.8655155282963	FBgn0032801	CG10165	0.552	Eukaryota	non_HKs	0	non_TS_non_HK	0.0627894751680972	0.835533878797856
CG10166	33	33	31	35	0	-0.175086706558091	50	FBgn0032799	CG10166	0.355	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	1	0.873857004115978
CG10171	129	117	105	141	0.14086253583985	-0.425305834732671	42.8963085935004	FBgn0036353	CG10171	0.534	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.658324293587445	0.105549424098141
CG10173	99	74	81	92	0.41990325445066	-0.183711953172388	23.3336232153841	FBgn0035696	Best2	0.683	Bilateria	non_HKs	0	TS	0.156797334224054	0.686383134282598
CG10188	117	172	125	164	-0.555900035118693	-0.391767719955997	70.474490952739	FBgn0032796	CG10188	0.383	Bilateria	non_HKs	0	non_TS_non_HK	0.00647110461062191	0.104951554913131
CG10189	20	23	22	21	-0.201633861169651	0.067114195858537	19.9826551753562	FBgn0032793	CG10189	0.438	Eukaryota	non_HKs	0	non_TS_non_HK	0.88284077593562	1
CG10192	87	190	136	141	-1.12691211248222	-0.0520885111484542	4.62223367479122	FBgn0260634	eIF4G2	0.576	Bilateria	non_HKs	0	non_TS_non_HK	8.77859253172198e-09	0.932591089821861
CG10195	30	24	32	22	0.321928094887362	0.540568381362703	71.2015555488914	FBgn0032787	CG10195	0.399	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.671746103674078	0.448826201877765
CG10198	148	162	181	129	-0.130396637255675	0.488618631659951	44.1137303043941	FBgn0039120	Nup98-96	0.282	Eukaryota	non_HKs	0	non_TS_non_HK	0.638653406675019	0.0240178794247271
CG1021	36	40	44	32	-0.15200309344505	0.459431618637297	42.9027979924021	FBgn0037443	Dmtn	0.43	Bilateria	non_HKs	0	non_TS_non_HK	0.860249565299255	0.432942175446274
CG10210	140	102	118	124	0.456857674973471	-0.0715532610250339	11.9262551632271	FBgn0039117	tst	0.273	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.0512996308093062	0.898136044918272
CG10214	49	61	59	51	-0.316027493447678	0.210217707390346	28.5442355672798	FBgn0039115	CG10214	0.466	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.46856655360097	0.733544234048172
CG10217	192	173	194	171	0.150334273084431	0.18206032730123	85.1599274043922	FBgn0039113	CG10217	0.334	Bilateria	non_HKs	0	non_TS_non_HK	0.520576314884042	0.483679713698053
CG10221	233	188	210	211	0.309597292976643	-0.00685367104106257	2.11988022993136	FBgn0028475	Hrd3	0.409	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.085185227423691	1
CG10225	119	142	135	126	-0.254929356196739	0.0995356735509144	21.9241232067996	FBgn0039110	RanBP3	0.438	Bilateria	non_HKs	0	non_TS_non_HK	0.31939504167103	0.817767281602971
CG10228	197	304	311	190	-0.625875693987209	0.710915161799655	34.7176379662916	FBgn0264962	Pcf11	0.208	Bilateria	non_HKs	0	non_TS_non_HK	1.7837703532386e-05	2.18249465238869e-06
CG10229	29	49	38	40	-0.756728848987636	-0.0740005814437769	9.77900889371088	FBgn0040208	Kat60	0.3	Diptera	non_HKs	0	non_TS_non_HK	0.082806586312995	0.985379693971952
CG10230	323	271	273	321	0.253241313340053	-0.233672346202451	32.4280993995819	FBgn0028691	Rpn9	0.287	Eukaryota	non_HKs	0	non_TS_non_HK	0.0943096696201819	0.177889718053026
CG10234	119	82	115	86	0.53726575868986	0.419225296242277	78.0294089957588	FBgn0024230	Hs2st	0.355	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.0354350149541183	0.164526125850566
CG10236	69	110	94	85	-0.67283525674649	0.145197915539936	15.074047897228	FBgn0002526	LanA	0.322	Eukaryota	HK	0.855819095	non_TS_HK	0.0109876529014764	0.768212325183526
CG10237	741	570	815	496	0.37851162325373	0.716459938731565	67.9490070256297	FBgn0032783	CG10237	0.618	Diptera	non_HKs	0	TS	2.24440112227021e-05	1.84088229279342e-16
CG1024	32	36	27	41	-0.169925001442312	-0.602664502454615	58.2057342290227	FBgn0027514	CG1024	0.618	Pan-drosophilid	non_HKs	0	TS	0.849555441249716	0.298290768966677
CG10249	61	62	62	61	-0.0234589728239889	0.023458972823989	33.3333333333334	FBgn0027596	Kank	0.613	Bilateria	non_HKs	0	TS	1	1
CG10254	159	162	207	114	-0.0269670476002693	0.860596943334584	49.2287023731159	FBgn0027512	CG10254	0.535	Eukaryota	non_HKs	0	non_TS_non_HK	0.973689956791198	6.34417411505772e-06
CG10255	60	66	77	49	-0.137503523749935	0.652076696579693	45.2310594102819	FBgn0033984	Lap1	0.336	Diptera	non_HKs	0	non_TS_non_HK	0.808536225564121	0.0739634670514177
CG10260	90	185	144	131	-1.03952836418664	0.136501999904862	10.3998959301274	FBgn0267350	PI4KIIIalpha	0.292	Eukaryota	non_HKs	0	non_TS_non_HK	1.34274545375923e-07	0.709355589758448
CG10263	39	72	59	52	-0.884522782580064	0.182203331220749	14.5887609541949	FBgn0032812	Hakai	0.524	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.00937976125505027	0.781266264171256
CG10265	21	25	26	20	-0.251538766995964	0.37851162325373	37.5298314021267	FBgn0033990	CG10265	0.558	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.810001673418384	0.701569986350412
CG10269	99	131	118	112	-0.404066381457841	0.0752881273042372	13.5741687365043	FBgn0022935	D19A	0.554	Diptera	non_HKs	0	non_TS_non_HK	0.103611722559919	0.893886274020135
CG10270	66	113	88	91	-0.775784843056734	-0.048363021561399	6.23407662501369	FBgn0022699	D19B	0.364	Diptera	non_HKs	0	non_TS_non_HK	0.00279112444301555	0.977509173602013
CG10274	46	51	51	46	-0.148863385914483	0.148863385914483	33.3333333333333	FBgn0035690	CG10274	0.618	Diptera	non_HKs	0	TS	0.830724802491237	0.859089224317216
CG10281	131	105	127	109	0.319177483871328	0.220500361995239	69.0839339043512	FBgn0010282	TfIIFalpha	0.442	Bilateria	non_HKs	0	non_TS_non_HK	0.215935029262726	0.504702786351743
CG10283	31	39	29	41	-0.331205908475373	-0.499571009490512	74.793232710883	FBgn0032681	CG10283	0.571	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.580590068789881	0.407166030396083
CG10289	183	201	202	182	-0.135351852894886	0.150416842553099	34.4846010352422	FBgn0035688	CG10289	0.159	Eukaryota	non_HKs	0	non_TS_non_HK	0.562410718773651	0.573090846968846
CG10293	45	84	47	82	-0.900464326449086	-0.802963152940446	89.1721225766791	FBgn0264491	how	0.299	Bilateria	non_HKs	0	non_TS_non_HK	0.00369151118679328	0.0181149422609682
