CG_ID	P1_1	P2_1	HYB_1_P1	HYB_1_P2	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj	max_tissue
CG10005	104	99	119	68	0.0710830980614827	0.807354922057604	52.3024704075388	FBgn0037972	CG10005	0.765	Diptera	non_HKs	0	TS	0.919763221720041	0.0013837141786167	WPP_Fat_Body
CG10007	157	135	163	95	0.217805151840796	0.77887254590013	58.1274221830937	FBgn0260744	Tango9	0.397	Eukaryota	non_HKs	0	non_TS_non_HK	0.439350694734797	0.000192690633387254	WPP_Fat_Body.2
CG10009	268	255	247	214	0.0717357535989146	0.206900245183531	60.485698449463	FBgn0026400	Noa36	0.436	Bilateria	non_HKs	0	non_TS_non_HK	0.800723179604446	0.282087683352736	Adult_Mated_Male_4_days_Post.eclosion_Testes.3
CG10011	203	190	135	121	0.0954803088542284	0.157952359776236	71.658288333804	FBgn0039590	CG10011	0.425	Eukaryota	HK	1.408601387	non_TS_HK	0.764502130942586	0.616939364925766	WPP.2_days_CNS
CG10016	90	120	131	114	-0.415037499278844	0.200532987372709	24.5720051139921	FBgn0024244	drm	0.616	Diptera	non_HKs	0	TS	0.144150819008766	0.507822759354848	embryos_6.8_hr
CG10021	1080	980	1248	1168	0.14017765804826	0.0955776599822312	68.1832335573232	FBgn0004893	bowl	0.523	Eukaryota	non_HKs	0	non_TS_non_HK	0.103390930759478	0.238824847358534	L3_Imaginal_Discs.3
CG10023	185	180	129	169	0.0395283641866373	-0.38965218085893	47.5862979741697	FBgn0020440	Fak	0.272	Bilateria	HK	2.399391232	non_TS_HK	0.946776791175461	0.0741654019184	WPP.2_days_CNS
CG10033	144	79	212	100	0.866144253265209	1.08406426478847	83.2624697941369	FBgn0000721	for	0.318	Diptera	non_HKs	0	non_TS_non_HK	0.000171480650497182	2.98316978853408e-09	L3_Fat_body
CG10037	313	494	463	576	-0.658348384652059	-0.315056618182076	47.8556073846198	FBgn0086680	vvl	0.613	Bilateria	non_HKs	0	TS	4.32135904882409e-09	0.00275832925784676	Adult_Mated_Male_4_days_Post.eclosion_AccessoryGlands.4
CG10038	148	161	136	108	-0.121463512485667	0.332575339086871	42.2793464745503	FBgn0038013	CG10038	0.353	Eukaryota	non_HKs	0	non_TS_non_HK	0.719614238038989	0.197557195433	RAL_testis.1
