CG_ID	MMP1	MMP2	MMH11	MMH12	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj
CG10000	88	104	105	87	-0.241008099503795	0.271302021817394	34.6219777466381	FBgn0039596	CG10000	0.854	Pan-drosophilid	non_HKs	0	TS	0.460549202016539	0.579610579606156
CG10007	135	170	118	187	-0.332575339086871	-0.664251410525796	66.6967648302455	FBgn0260744	Tango9	0.397	Eukaryota	non_HKs	0	non_TS_non_HK	0.130942543748656	0.00233162132606315
CG10009	186	151	180	157	0.300754071782953	0.197232347438048	65.5792775368926	FBgn0026400	Noa36	0.436	Bilateria	non_HKs	0	non_TS_non_HK	0.154774915662935	0.590020549233983
CG10011	34	58	49	43	-0.770518153877233	0.18844508941311	16.4235419982621	FBgn0039590	CG10011	0.425	Eukaryota	HK	1.408601387	non_TS_HK	0.0516316922077643	0.889607138548202
CG10018	26	23	21	28	0.176877762084079	-0.415037499278844	41.2171767635182	FBgn0037338	Snm1	0.588	Eukaryota	non_HKs	0	non_TS_non_HK	0.887456395687315	0.737069056631712
CG10023	158	150	142	166	0.0749620576812219	-0.225292311842243	42.8681827571984	FBgn0020440	Fak	0.272	Bilateria	HK	2.399391232	non_TS_HK	0.821092171452167	0.54456972653148
CG10038	76	71	75	72	0.0981803939389033	0.0588936890535686	59.9851830806643	FBgn0038013	CG10038	0.353	Eukaryota	non_HKs	0	non_TS_non_HK	0.861855268399343	1
CG10042	123	100	126	97	0.298658315564515	0.377367081312789	82.742176272769	FBgn0038016	MBD-R2	0.425	Diptera	non_HKs	0	non_TS_non_HK	0.280985155833486	0.286615408308419
CG10060	259	181	218	222	0.516962400603349	-0.0262315415731797	4.60666800516954	FBgn0001104	Galphai	0.397	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.00129560323077833	1
CG10071	971	311	634	648	1.64255671528859	-0.0315109727452174	1.84752386212576	FBgn0016726	RpL29	0.153	Eukaryota	HK	162.8205594	non_TS_HK	5.07592620123139e-77	0.945930210997494
CG10072	196	184	201	179	0.0911478880581954	0.167235913914672	68.7297411310868	FBgn0261445	sgl	0.369	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.732517419409123	0.649475794301946
CG10075	62	44	53	53	0.494764691749578	0	0	FBgn0035722	CG10075	0.464	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.215788270132744	1
CG10077	160	222	183	199	-0.472487771462744	-0.120924782259606	25.5932088750664	FBgn0035720	CG10077	0.33	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	12.21159313	non_TS_HK	0.00793424150723412	0.776232643591267
CG10079	51	105	93	63	-1.04182017569463	0.561878887608115	25.9459091450292	FBgn0003731	Egfr	0.472	Bilateria	non_HKs	0	non_TS_non_HK	0.000129636250861813	0.149734146072882
